iter	Logloss
0	0.6538486828
1	0.6169817838
2	0.5893542897
3	0.559276684844	0.532991444
5	0.5052987532
6	0.4965515137
7	0.4774215005
8	0.450182897499	0.44324930310	0.4376791521
1111	0.4162662159
12	0.4070841713	0.4007312428
14	14	0.3857735374
15	0.376304141
16	0.3669241811717	0.3604666276
18	0.3542429491
19	0.3479390220	20	0.3415121252
21	0.3368307981
22	0.3318583402
23	0.3245606856
24	0.3204609611
25	0.3146484722
26	0.3098940763
27	0.3045851274
28	0.2997598128
29	0.2968967091
30	0.2914574363
31	0.2876814756
32	0.2836102399
33	0.2796174483
34	0.276222229
35	0.2733141292
36	0.2683936032
37	0.264570038	038	0.2620069677
39	0.259088759
40	0.2564118299
41	0.2535458651
42	0.2512936159
43	0.2482393091
44	0.2465183605
45	0.2440773704
46	0.2430010015
47	0.2400239771
48	0.2387131084
49	0.2367194783
50	0.2348041014
51	0.2330245972
52	0.230747535
53	0.2285347852
54	0.226966303
55	0.2241438259
56	0.2217365958
57	0.2199800665
58	0.2186612043
59	0.2171593753
60	0.2154469924
61	0.2133611852
62	0.21106987
63	0.209814904
64	0.2083093817
65	0.2067810752
66	0.2045697299
67	0.203086645
68	0.2021314101
69	0.2000411467
70	0.1980849526
71	0.1966234727
72	0.1956588919
73	0.1955385382
74	0.1944349983
75	0.1933465091
76	0.1922786713
77	0.1916608984
78	0.1910994616
79	0.1905550697
80	0.189671187
81	0.1883323323
82	0.1871981534
83	0.1859011217
84	0.1843784332
85	0.1822700154
86	0.1815982125
87	0.1806526878
88	0.1792433999
89	0.1779631181
90	0.1764183044
91	0.1757760828
92	0.1740792708
93	0.1732882066
94	0.1723814357
95	0.1720385638
96	0.1711394917
97	0.1705605073
98	0.1692033768
99	0.1679360476
100	0.1672048049
101	0.1656969244
102	0.1652447267
103	0.1641127153
104	0.1634132732
105	0.1621826519
106	0.161634792
107	0.160116265
108	0.1596334978
109	0.1589191957
110	0.1583525051
111	0.1574010502
112	0.1565497658
113	0.1552387238
114	0.1543161219
115	0.1527397156
116	0.1521096663
117	0.1511291331
118	0.1498968298
119	0.1490289862
120	0.147709361
121	0.1466528286
122	0.1457979722
123	0.1448967153
124	0.1445192771
125	0.1435737783
126	0.1419555664
127	0.1413668286
128	0.140357373
129	0.1396650401
130	0.1390310027
131	0.1382987803
132	0.1376213594
133	0.1365786206
134	0.1362091064
135	0.1355646133
136	0.134920337
137	0.133922733
138	0.1326824795
139	0.1323350299
140	0.1317925627
141	0.1310698769
142	0.1307899562
143	0.1301260168
144	0.128518382
145	0.1281630343
146	0.1275178909
147	0.1265739701
148	0.1263683492
149	0.1258411494
150	0.1252619483
151	0.1240977547
152	0.1234617407
153	0.1222811612
154	0.1219339544
155	0.1210066882
156	0.1200092489
157	0.119075307
158	0.1181208004
159	0.1169321147
160	0.1158290603
161	0.1153735421
162	0.1151595202
163	0.114915501
164	0.1140415538
165	0.113396818
166	0.1129867901
167	0.1118868915
168	0.1109653993
169	0.1098419103
170	0.1096113638
171	0.1087301948
172	0.1083787311
173	0.1073731856
174	0.1071849823
175	0.1068944411
176	0.1055458069
177	0.1053791913
178	0.1043701605
179	0.103973406
180	0.1034873789
181	0.1027177117
182	0.1016302282
183	0.1007114064
184	0.09992331592
185	0.09890923067
186	0.09815236872
187	0.09744727395
188	0.09687622244
189	0.09615580819
190	0.09584552591
191	0.09483363412
192	0.09430983283
193	0.09421938116
194	0.09327817397
195	0.09266752763
196	0.09257007946
197	0.09209244468
198	0.09188221151
199	0.09107615731
200	0.09095032432
201	0.09085587588
202	0.09005605524
203	0.08923731717
204	0.08913191015
205	0.08849802884
206	0.08840586922
207	0.08832987005
208	0.08750517585
209	0.08683294816
210	0.08622160825
